feature_name,importance
hsa-mir-302d,0.672627
hsa-mir-489,0.6709698
hsa-mir-3691,0.6706716
hsa-mir-5571,0.5678031
hsa-mir-26a-1,0.5561934
hsa-mir-135a-2,0.54880327
hsa-mir-105-1,0.54556775
hsa-mir-5580,0.54337823
hsa-mir-555,0.53044605
hsa-mir-1266,0.52350676
hsa-mir-6777,0.50784105
hsa-mir-24-1,0.50292826
hsa-mir-7976,0.49619478
hsa-mir-3190,0.49329567
hsa-mir-301a,0.48462093
hsa-mir-518e,0.48177344
hsa-mir-652,0.47485638
hsa-mir-6763,0.4738033
hsa-mir-6850,0.4710855
hsa-mir-6754,0.4708448
hsa-mir-6125,0.4697882
hsa-mir-181b-1,0.46810818
hsa-mir-2113,0.4670999
hsa-mir-30c-1,0.46599582
hsa-mir-668,0.4603612
hsa-mir-520e,0.453427
hsa-mir-4782,0.45024744
hsa-mir-361,0.4427881
hsa-mir-3652,0.44234115
hsa-mir-3609,0.43883803
hsa-mir-212,0.43779355
hsa-mir-1288,0.4341859
hsa-mir-518a-2,0.43328857
hsa-mir-653,0.43019387
hsa-mir-4800,0.42715365
hsa-mir-664b,0.42712873
hsa-mir-1914,0.42446908
hsa-mir-550a-3,0.42388818
hsa-mir-518a-1,0.42244697
hsa-mir-4754,0.41712067
hsa-mir-1237,0.41597465
hsa-mir-103a-1,0.4159365
hsa-mir-3622b,0.41085556
hsa-mir-1248,0.4077781
hsa-mir-135a-1,0.40365905
hsa-mir-6730,0.40012106
hsa-mir-4638,0.39938256
hsa-mir-5680,0.39921287
hsa-mir-194-2,0.39906576
hsa-mir-6874,0.39899638
hsa-mir-6839,0.3980415
hsa-mir-892b,0.3979658
hsa-mir-6735,0.3978654
hsa-mir-6843,0.3946969
hsa-mir-520a,0.39362055
hsa-mir-3176,0.39331314
hsa-mir-7845,0.39323485
hsa-mir-6875,0.39279506
hsa-mir-7854,0.39217442
hsa-mir-664a,0.39194635
hsa-mir-107,0.39026496
hsa-mir-219b,0.39024413
hsa-mir-6825,0.3895227
hsa-mir-3064,0.38832188
hsa-mir-615,0.3871469
hsa-mir-6779,0.3860205
hsa-mir-5090,0.38396806
hsa-mir-4707,0.3829071
hsa-mir-3922,0.381795
hsa-mir-5703,0.38176998
hsa-mir-4728,0.37922224
hsa-mir-4524a,0.37904102
hsa-mir-101-1,0.3781915
hsa-mir-30d,0.37774774
hsa-mir-7844,0.37759596
hsa-mir-329-2,0.37530702
hsa-mir-31,0.37495303
hsa-mir-1258,0.37362236
hsa-mir-548j,0.3735562
