feature_name,importance
ENSG00000230416.3,0.5926955
ENSG00000235160.2,0.568905
ENSG00000284699.1,0.55456334
ENSG00000254076.1,0.5521858
ENSG00000196361.10,0.5300765
ENSG00000243658.1,0.5191088
ENSG00000254054.3,0.5085197
ENSG00000177596.1,0.50130856
ENSG00000240980.1,0.48377243
ENSG00000205634.7,0.48245525
ENSG00000274355.1,0.48176938
ENSG00000279248.1,0.4787753
ENSG00000287223.1,0.47460026
ENSG00000229275.1,0.4606515
ENSG00000224928.2,0.45825464
ENSG00000254226.6,0.44850668
ENSG00000225233.2,0.4388988
ENSG00000232089.1,0.43824065
ENSG00000226947.1,0.43762147
ENSG00000287186.1,0.43722436
ENSG00000021355.13,0.43525463
ENSG00000277397.1,0.4281749
ENSG00000260254.1,0.42720082
ENSG00000223794.1,0.42691457
ENSG00000257634.1,0.42424637
ENSG00000264434.2,0.41601008
ENSG00000279859.2,0.4146826
ENSG00000206474.8,0.413628
ENSG00000287980.1,0.4121561
ENSG00000231491.2,0.40612605
ENSG00000273569.1,0.40478525
ENSG00000284825.1,0.4024025
ENSG00000250481.2,0.39889178
ENSG00000253354.2,0.39694464
ENSG00000287589.1,0.3924617
ENSG00000251698.1,0.39244702
ENSG00000226122.1,0.39027256
ENSG00000267313.7,0.38541588
ENSG00000263794.2,0.38471305
ENSG00000211801.3,0.38144034
ENSG00000257997.5,0.38143072
ENSG00000272937.2,0.38065675
ENSG00000188916.9,0.37840796
ENSG00000286908.1,0.37720343
ENSG00000270815.1,0.3764804
ENSG00000179008.9,0.37353477
ENSG00000234932.2,0.3724497
ENSG00000277174.1,0.3711897
ENSG00000266071.1,0.3709943
ENSG00000233674.2,0.37075433
ENSG00000224348.2,0.3698092
ENSG00000176239.7,0.36819705
ENSG00000243801.3,0.36736915
ENSG00000274591.1,0.3663631
ENSG00000262116.1,0.36398572
ENSG00000279189.1,0.3639421
ENSG00000283583.1,0.36373687
ENSG00000202063.1,0.36276177
ENSG00000287722.1,0.36222652
ENSG00000253942.1,0.3595795
ENSG00000261683.2,0.35874343
ENSG00000176887.7,0.35827065
ENSG00000202322.1,0.35745955
ENSG00000224109.3,0.35712028
ENSG00000255672.1,0.3566241
ENSG00000225036.1,0.35505688
ENSG00000205696.4,0.35330746
ENSG00000263375.1,0.3532513
ENSG00000134917.10,0.3524168
ENSG00000252650.1,0.35144407
ENSG00000278957.1,0.3511461
ENSG00000230047.1,0.35085553
ENSG00000254430.1,0.3505946
ENSG00000287790.1,0.35056278
ENSG00000260672.1,0.35038778
ENSG00000229313.1,0.3464794
ENSG00000226053.1,0.34632987
ENSG00000218020.3,0.34587955
ENSG00000206675.1,0.3454546
ENSG00000239992.1,0.3452632
ENSG00000236235.1,0.34519053
ENSG00000248942.3,0.34250665
ENSG00000224426.1,0.3422457
ENSG00000204174.8,0.34214517
ENSG00000260450.2,0.33921665
ENSG00000235461.2,0.33802116
ENSG00000207587.1,0.3378746
ENSG00000164744.13,0.33726966
ENSG00000168818.10,0.33704746
ENSG00000227610.1,0.33690324
ENSG00000286266.1,0.3366853
ENSG00000237806.1,0.33591276
ENSG00000271394.1,0.33586016
ENSG00000154198.14,0.3358572
ENSG00000183709.8,0.3326327
ENSG00000235707.2,0.33138734
ENSG00000240611.1,0.33007285
ENSG00000235683.1,0.32989275
ENSG00000264342.3,0.32849947
ENSG00000278012.1,0.3277423
ENSG00000257224.1,0.3249829
ENSG00000223715.3,0.32437143
ENSG00000286595.1,0.32286462
ENSG00000255312.1,0.32116666
ENSG00000282890.1,0.32079244
ENSG00000254300.1,0.3202822
ENSG00000242103.1,0.3195899
ENSG00000212424.1,0.3183316
ENSG00000206772.1,0.31610173
ENSG00000237085.2,0.31561625
ENSG00000087253.13,0.31491813
ENSG00000271559.1,0.31410426
ENSG00000140876.11,0.31318912
ENSG00000288069.1,0.3130158
ENSG00000253189.1,0.31296232
ENSG00000228784.9,0.31293556
ENSG00000230604.2,0.3128397
ENSG00000236885.2,0.312235
